CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,InternetService,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
144,Female,0,Yes,No,33,No,31,7124.61,Two year,Mailed check,No
145,Female,0,No,Yes,57,No,114.74,3083.91,One year,Mailed check,Yes
146,Male,1,No,Yes,21,No,62.34,5899.8,One year,Credit card,No
147,Male,0,Yes,No,69,No,20.93,3818.02,Two year,Mailed check,No
148,Male,0,Yes,Yes,35,Fiber optic,64.24,998.21,Two year,Credit card,No
149,Male,1,No,No,44,No,24.61,7424.91,One year,Credit card,Yes
150,Female,0,No,No,35,Fiber optic,74.39,3643.69,One year,Credit card,No
151,Male,0,No,Yes,21,No,53.86,5881.21,One year,Bank transfer,Yes
152,Male,0,No,No,60,Fiber optic,67.34,2950.05,Two year,Credit card,No
153,Male,0,Yes,Yes,55,Fiber optic,81.32,170.67,Month-to-month,Mailed check,No
154,Male,0,Yes,Yes,32,DSL,106.88,822.23,One year,Bank transfer,Yes
155,Male,1,Yes,No,44,No,86.19,3979.83,One year,Mailed check,Yes
156,Female,1,No,Yes,35,DSL,63.4,5525.92,One year,Bank transfer,No
157,Male,1,No,No,19,DSL,101.94,2691.19,Two year,Mailed check,Yes
158,Female,0,No,Yes,17,No,110.56,5570,Month-to-month,Electronic check,No
159,Male,1,No,Yes,37,DSL,31.98,5595.11,Month-to-month,Electronic check,No
160,Female,0,Yes,Yes,66,No,73.19,5637.41,One year,Electronic check,Yes
161,Male,0,Yes,No,22,DSL,48.45,3950.32,Two year,Mailed check,Yes
162,Male,0,No,Yes,15,No,24.71,7320.79,Month-to-month,Bank transfer,Yes
163,Female,0,Yes,No,58,No,86.85,3923.79,Two year,Credit card,No
164,Female,1,No,Yes,68,No,106.28,3613.12,Month-to-month,Credit card,Yes
165,Female,1,No,Yes,67,Fiber optic,36.29,1611.06,One year,Mailed check,No
166,Male,0,Yes,No,20,DSL,101.24,2475.09,Two year,Mailed check,Yes
167,Female,1,No,No,69,Fiber optic,105.34,357.83,One year,Mailed check,Yes
168,Male,0,No,No,11,DSL,111.43,5075.61,Month-to-month,Mailed check,Yes
169,Male,1,Yes,No,15,DSL,46.53,2003.32,Month-to-month,Credit card,Yes
170,Female,1,No,No,13,DSL,110.4,2447.16,One year,Bank transfer,Yes
171,Female,0,No,Yes,60,Fiber optic,52.07,6171.1,Month-to-month,Credit card,No
172,Male,1,Yes,Yes,70,DSL,75.23,2631.23,One year,Mailed check,Yes
173,Male,0,No,No,45,Fiber optic,25.05,1952.72,One year,Electronic check,Yes
174,Female,1,Yes,Yes,31,No,24.39,1369.08,One year,Credit card,No
175,Female,0,No,Yes,14,DSL,92.04,6203.37,Month-to-month,Electronic check,No
176,Female,0,Yes,Yes,43,DSL,64.45,1055.06,Two year,Electronic check,No
177,Male,1,Yes,No,16,No,45.63,3640.96,One year,Mailed check,No
178,Male,1,Yes,Yes,40,No,39.04,4065.3,Two year,Credit card,Yes
179,Male,0,No,Yes,53,DSL,87,5505.37,Month-to-month,Bank transfer,Yes
180,Male,1,Yes,Yes,43,No,20.04,5073.6,Month-to-month,Credit card,No
181,Male,1,Yes,No,4,Fiber optic,100.59,6489.55,Two year,Bank transfer,Yes
182,Male,0,Yes,Yes,26,Fiber optic,27.92,377.12,One year,Bank transfer,No
183,Female,0,Yes,Yes,42,DSL,39.15,2385.6,Month-to-month,Mailed check,No
184,Male,1,Yes,No,30,Fiber optic,58.62,2255.47,One year,Bank transfer,Yes
185,Male,0,No,No,16,Fiber optic,68.49,1185.21,One year,Credit card,Yes
186,Male,0,No,Yes,53,DSL,55.5,2327.64,Two year,Credit card,No
187,Female,0,No,Yes,61,No,52.07,2491.93,Month-to-month,Electronic check,Yes
188,Male,1,No,No,31,DSL,116.39,4184.64,Two year,Bank transfer,No
189,Male,1,No,No,39,Fiber optic,84.16,5316.36,Month-to-month,Mailed check,No
190,Female,0,No,No,12,DSL,22.34,3061.18,Two year,Mailed check,No
191,Male,1,No,No,34,DSL,63.02,5761.37,Month-to-month,Credit card,No
192,Male,0,Yes,No,4,Fiber optic,107.5,2702.6,Month-to-month,Bank transfer,Yes
193,Male,1,No,No,28,Fiber optic,50.15,2336.46,Month-to-month,Mailed check,No
194,Male,0,Yes,No,69,DSL,29.46,4338.68,One year,Bank transfer,No
195,Male,0,Yes,Yes,24,Fiber optic,95.84,209.26,One year,Bank transfer,No
196,Female,1,No,No,21,Fiber optic,80.6,656.72,Two year,Electronic check,Yes
197,Female,0,Yes,No,65,Fiber optic,77.03,3355.4,Two year,Mailed check,No
198,Female,1,Yes,Yes,44,Fiber optic,25.36,7544.44,Month-to-month,Electronic check,No
199,Male,1,Yes,No,68,Fiber optic,34.05,5777.66,Month-to-month,Mailed check,Yes
200,Male,0,Yes,No,71,Fiber optic,82.25,723.25,One year,Bank transfer,No
201,Male,0,No,Yes,0,No,40.78,6773.62,One year,Mailed check,No
202,Female,1,No,No,43,DSL,70.41,5863.76,One year,Credit card,No
203,Male,0,No,Yes,38,Fiber optic,74.49,4895.35,Two year,Bank transfer,No
204,Male,0,No,Yes,53,DSL,48.35,6565.94,One year,Mailed check,Yes
205,Female,0,No,Yes,28,No,114.84,3244.8,Two year,Electronic check,Yes
206,Male,0,No,Yes,53,Fiber optic,104.25,1787.58,One year,Electronic check,Yes
207,Female,0,No,No,15,DSL,92.24,4105.95,One year,Bank transfer,No
208,Female,1,No,Yes,19,Fiber optic,27.8,4399.76,Month-to-month,Electronic check,Yes
209,Female,1,No,Yes,45,Fiber optic,30.61,4315.84,Two year,Bank transfer,Yes
210,Male,0,No,No,66,Fiber optic,69.28,4529.29,One year,Bank transfer,No
211,Male,0,Yes,Yes,64,Fiber optic,36.07,7590.67,Month-to-month,Bank transfer,Yes
212,Male,0,No,Yes,57,Fiber optic,117.83,7219.92,Two year,Mailed check,Yes
213,Male,1,Yes,Yes,52,Fiber optic,35.85,7008.22,Two year,Bank transfer,Yes
214,Male,0,Yes,Yes,0,Fiber optic,68.75,6415.31,One year,Electronic check,No
215,Male,1,Yes,No,65,No,56.41,7548.56,Two year,Credit card,No
216,Male,1,Yes,Yes,28,No,83.94,805.99,Month-to-month,Mailed check,Yes
217,Female,1,No,No,69,Fiber optic,32.9,2135.68,Month-to-month,Electronic check,Yes
218,Male,0,Yes,No,7,Fiber optic,63.03,3970.55,Two year,Bank transfer,No
219,Female,1,No,Yes,28,No,47.47,6775.35,Month-to-month,Bank transfer,No
220,Male,0,No,Yes,50,No,108.78,4051.22,Two year,Credit card,No
221,Male,1,Yes,Yes,32,No,24.06,5989.32,Month-to-month,Electronic check,No
222,Male,0,No,Yes,2,Fiber optic,111.37,1128.9,Two year,Mailed check,Yes
223,Female,1,Yes,No,59,DSL,103.3,2034.26,Two year,Electronic check,No
224,Female,0,Yes,No,34,DSL,49.76,5859.57,Two year,Bank transfer,Yes
225,Female,1,No,No,68,DSL,98.93,1334.58,Month-to-month,Mailed check,No
226,Female,0,No,Yes,19,DSL,23.12,2823.82,Two year,Bank transfer,No
227,Male,0,Yes,No,38,Fiber optic,116.69,2133.63,Two year,Bank transfer,No
228,Female,0,No,Yes,3,DSL,72.66,2811.9,One year,Electronic check,No
229,Male,0,No,Yes,18,No,50.33,5672.43,One year,Credit card,Yes
230,Male,1,No,Yes,44,No,56.26,2955.42,Two year,Bank transfer,Yes
231,Female,1,Yes,Yes,42,DSL,26.64,4451,One year,Electronic check,Yes
232,Female,0,Yes,Yes,12,No,118.93,817.46,Two year,Mailed check,No
233,Female,1,No,No,12,Fiber optic,23.93,6444.04,One year,Credit card,Yes
234,Female,0,No,No,59,DSL,85.49,2971.71,Month-to-month,Bank transfer,No
235,Female,0,No,Yes,56,DSL,64.27,5195.3,Month-to-month,Bank transfer,No
236,Female,1,No,No,51,Fiber optic,114.89,5808.61,Two year,Mailed check,Yes
237,Female,0,No,Yes,52,No,44.6,1693.09,Two year,Electronic check,No
238,Female,0,Yes,Yes,42,Fiber optic,73.21,7079.71,Month-to-month,Bank transfer,No
239,Male,1,No,Yes,71,Fiber optic,68.24,4937.47,Month-to-month,Mailed check,Yes
240,Female,0,Yes,No,71,No,90.29,3441.23,One year,Bank transfer,No
241,Female,0,No,Yes,41,Fiber optic,26.8,1475.03,Two year,Electronic check,No
242,Male,0,Yes,Yes,25,No,39.38,7539.56,Month-to-month,Credit card,Yes
243,Female,0,No,No,22,No,41.46,6045.44,Month-to-month,Electronic check,Yes
244,Male,1,Yes,No,42,Fiber optic,93.82,1680.04,Two year,Electronic check,No
245,Male,1,No,No,27,No,38.91,2714.93,One year,Electronic check,Yes
246,Female,1,Yes,Yes,8,Fiber optic,77.35,6481.2,One year,Mailed check,No
247,Male,0,Yes,Yes,19,No,41.52,5571.51,One year,Bank transfer,Yes
248,Male,0,Yes,No,55,DSL,106.16,6130.96,One year,Credit card,No
249,Male,1,Yes,Yes,38,No,114.22,3540.78,Month-to-month,Mailed check,Yes
250,Male,0,Yes,No,50,No,71.85,5737.48,Two year,Electronic check,Yes
251,Female,0,Yes,No,11,Fiber optic,55.23,3104.22,Two year,Credit card,No
252,Male,0,No,Yes,54,No,43.41,1705.88,Month-to-month,Electronic check,Yes
253,Female,0,Yes,Yes,10,DSL,24.98,5068.76,Month-to-month,Electronic check,Yes
254,Male,1,No,No,25,DSL,46.85,7808.59,Month-to-month,Electronic check,No
255,Male,1,No,No,41,No,85.42,2498.6,Two year,Credit card,Yes
256,Male,1,No,No,26,No,73.36,3698.54,Two year,Bank transfer,Yes
257,Male,0,No,No,10,DSL,114.4,5398.53,Two year,Electronic check,Yes
258,Female,1,No,Yes,37,Fiber optic,59.63,4341.22,One year,Bank transfer,No
259,Female,1,Yes,No,42,DSL,89.39,6750.55,Month-to-month,Credit card,Yes
260,Male,0,Yes,No,18,DSL,68.93,6098.71,Month-to-month,Credit card,No
261,Male,0,Yes,No,63,No,71.26,485.21,Month-to-month,Electronic check,No
262,Female,1,No,Yes,5,No,46.78,7987.4,Two year,Bank transfer,Yes
263,Male,1,Yes,Yes,45,DSL,65.5,6024.17,Month-to-month,Bank transfer,No
264,Male,1,Yes,No,41,Fiber optic,67.08,6913.95,Month-to-month,Electronic check,No
265,Male,1,Yes,Yes,64,DSL,90.66,5216.56,One year,Mailed check,No
266,Female,0,Yes,Yes,71,DSL,114.06,6853.16,Two year,Mailed check,No
267,Female,1,Yes,Yes,58,Fiber optic,52.93,916.82,Month-to-month,Credit card,Yes
268,Female,1,No,No,51,DSL,24.22,2794.95,Two year,Credit card,Yes
269,Male,0,Yes,No,46,DSL,69.63,7013.84,Two year,Mailed check,Yes
270,Male,1,No,Yes,6,No,74.45,1629.21,Two year,Mailed check,No
271,Female,0,No,No,10,Fiber optic,36.84,644.37,One year,Mailed check,No
272,Female,0,No,No,60,No,96.05,6309.19,Two year,Electronic check,Yes
273,Female,0,No,Yes,67,No,118.49,6687.18,Two year,Electronic check,No
274,Female,1,No,Yes,24,Fiber optic,114.58,1317.96,Two year,Electronic check,Yes
275,Male,1,Yes,No,11,Fiber optic,39.71,6837.68,Month-to-month,Electronic check,No
276,Female,0,Yes,Yes,25,DSL,107.54,5500.41,One year,Electronic check,Yes
277,Male,1,Yes,No,11,No,90.45,4170.26,Month-to-month,Electronic check,Yes
278,Female,1,No,No,42,Fiber optic,65.38,6645.4,One year,Credit card,Yes
279,Male,0,Yes,Yes,50,No,74.06,3365.61,One year,Bank transfer,No
280,Female,0,Yes,No,36,No,104.96,1568.07,Two year,Credit card,Yes
281,Female,1,No,No,45,Fiber optic,68.01,2293.12,Two year,Bank transfer,No
282,Female,0,No,Yes,52,DSL,57.32,4051.21,Month-to-month,Credit card,No
283,Female,1,No,Yes,12,No,69.32,4260.02,One year,Credit card,Yes
284,Male,1,No,Yes,53,Fiber optic,77.91,6448.53,Two year,Electronic check,Yes
285,Female,1,Yes,No,56,DSL,38.91,6334.99,Two year,Electronic check,No
286,Male,1,No,Yes,3,No,110.09,4659.31,Two year,Bank transfer,No
287,Male,0,No,Yes,48,Fiber optic,87.42,6250.67,Two year,Bank transfer,Yes
288,Male,0,Yes,Yes,6,No,83.33,1550.35,Month-to-month,Electronic check,Yes
289,Male,0,Yes,Yes,10,Fiber optic,29.95,419.51,Month-to-month,Credit card,No
290,Female,0,No,No,53,Fiber optic,80.42,6991.6,Two year,Bank transfer,Yes
291,Male,1,Yes,No,44,No,32.1,622.92,Two year,Mailed check,Yes
292,Male,1,No,Yes,22,No,27.87,1988.57,Two year,Mailed check,Yes
293,Male,0,No,No,27,Fiber optic,72.73,5568.65,Two year,Mailed check,Yes
294,Female,1,Yes,Yes,56,DSL,60.28,3287.39,Two year,Bank transfer,No
295,Female,1,Yes,Yes,25,No,78.88,7012.99,One year,Electronic check,No
296,Female,1,No,No,24,Fiber optic,28.92,2397.88,One year,Electronic check,Yes
297,Female,0,No,No,53,Fiber optic,63.1,114.73,One year,Electronic check,Yes
298,Male,0,No,Yes,28,DSL,37.48,2419.23,One year,Bank transfer,No
299,Male,0,Yes,Yes,35,DSL,118.71,4633.04,Two year,Bank transfer,No
300,Female,1,No,No,13,DSL,76.12,3019.99,One year,Mailed check,No
301,Male,0,No,Yes,34,No,88.74,4288.28,One year,Bank transfer,No
302,Male,0,No,No,29,Fiber optic,52.54,7015.25,Month-to-month,Mailed check,No
303,Male,0,No,Yes,16,Fiber optic,29.47,7301.63,One year,Mailed check,Yes
304,Female,0,No,Yes,66,Fiber optic,117.59,2142.47,One year,Electronic check,Yes
305,Female,0,Yes,No,29,DSL,48.63,3707.88,Two year,Bank transfer,No
306,Male,0,No,No,44,Fiber optic,62.38,4402.17,One year,Electronic check,No
307,Female,1,No,No,50,No,84.99,7593.92,One year,Electronic check,Yes
308,Female,1,No,No,46,DSL,22.47,7988.97,Two year,Bank transfer,No
309,Female,0,No,No,52,DSL,101.03,1898.55,One year,Bank transfer,No
310,Female,0,Yes,No,63,DSL,73.66,5821.3,Two year,Credit card,Yes
311,Female,1,Yes,No,37,DSL,47.82,3036.69,One year,Mailed check,Yes
312,Male,1,Yes,Yes,63,No,26.16,84.7,Month-to-month,Credit card,Yes
313,Female,0,No,Yes,6,Fiber optic,36.25,93.84,Month-to-month,Mailed check,Yes
314,Male,0,No,Yes,21,No,109.5,3695.32,One year,Mailed check,No
315,Male,0,Yes,No,40,Fiber optic,88.6,3916.91,Month-to-month,Mailed check,Yes
316,Female,0,Yes,No,9,No,44.99,200.11,Two year,Electronic check,No
317,Male,1,Yes,No,56,DSL,26.56,5501.68,One year,Electronic check,No
318,Male,0,No,Yes,6,DSL,89.06,2366.15,Two year,Bank transfer,No
319,Male,0,No,No,49,No,77.24,4487.95,Month-to-month,Mailed check,No
320,Female,0,Yes,No,51,No,60.45,2421.33,Two year,Mailed check,Yes
321,Female,0,Yes,Yes,32,Fiber optic,56.36,1353.73,Month-to-month,Mailed check,No
322,Male,1,Yes,No,0,No,41.68,3269.25,Month-to-month,Electronic check,No
323,Female,1,No,Yes,52,No,86.96,1873.54,Month-to-month,Bank transfer,No
324,Female,1,No,Yes,59,Fiber optic,117.07,4287.71,Two year,Electronic check,Yes
325,Female,0,No,No,33,Fiber optic,37.57,1606.65,Month-to-month,Credit card,Yes
326,Female,0,Yes,No,3,Fiber optic,79.71,4077.08,One year,Credit card,Yes
327,Male,1,Yes,No,16,No,62.42,1275.88,Month-to-month,Credit card,Yes
328,Male,0,No,Yes,3,Fiber optic,64.67,5374.38,One year,Bank transfer,Yes
329,Female,0,Yes,Yes,42,DSL,45.41,6036.42,One year,Credit card,No
330,Female,1,No,Yes,3,DSL,102.51,900.95,One year,Bank transfer,Yes
